data_timestamp;rr;sd;tp;vl;lf;hf;lf%;hf%;var;low_high_ratio;wl
05:00:30;1041;39.1;1813;1572;143;80;59.3;33.2;1523.6;178.8;3000
05:03:00;1046;24.1;440;287;45;89;29.4;58.2;578.8;50.6;3000
05:05:30;1050;21.2;295;210;17;52;20;61.2;447.9;32.7;3000
05:08:00;1061;19.1;278;111;48;96;28.7;57.5;363.5;50;3000
05:10:30;1064;23.2;750;510;145;80;60.4;33.3;536.4;181.3;3000
05:13:00;1070;28.2;552;384;52;95;31;56.5;792.4;54.7;3000
05:15:30;1073;26.5;839;594;109;115;44.5;46.9;699.8;94.8;3000
05:18:00;1049;33.4;1300;1160;61;62;43.6;44.3;1111.7;98.4;3000
05:20:30;1038;27;404;310;27;55;28.7;58.5;726.5;49.1;3000
05:23:00;970;138;3153;3009;70;59;48.6;41;18983;118.6;3000
05:25:30;812;138.4;15852;15570;195;38;69.1;13.5;19102.9;513.2;3000
05:28:00;779;56.3;1963;1529;361;49;83.2;11.3;3161.5;736.7;3000
05:30:30;828;48.4;1384;1164;163;42;74.1;19.1;2336.1;388.1;3000
05:33:00;852;53.6;2572;2053;365;94;70.3;18.1;2864.8;388.3;3000
05:35:30;879;36.5;924;638;88;107;30.8;37.4;1328.4;82.2;3000
05:38:00;901;42.7;1801;1196;425;103;70.2;17;1817.8;412.6;3000
05:40:30;936;31.7;508;331;88;57;49.7;32.2;1001.8;154.4;3000
05:43:00;962;25.1;745;475;180;57;66.7;21.1;628;315.8;3000
05:45:30;980;22.8;362;230;98;23;74.2;17.4;518.2;426.1;3000
05:48:00;981;23;525;421;78;19;75;18.3;527.3;410.5;3000
05:50:30;977;18.2;297;168;101;20;78.3;15.5;330.2;505;3000
05:53:00;980;20.7;291;133;132;18;83.5;11.4;427.1;733.3;3000
05:55:30;978;23.1;555;319;193;27;81.8;11.4;531.9;714.8;3000
05:58:00;979;23.6;556;314;183;39;75.6;16.1;555.2;469.2;3000
06:00:30;986;21.9;329;187;66;48;46.5;33.8;478;137.5;3000
06:03:00;977;27.3;613;428;103;61;55.7;33;742.9;168.9;3000
06:05:30;987;43.1;1965;1742;171;41;76.7;18.4;1851.5;417.1;3000
06:08:00;1010;31.4;658;572;44;31;51.2;36;982.7;141.9;3000
06:10:30;964;61.1;6684;5923;631;74;82.9;9.7;3721.4;852.7;3000
06:13:00;859;95.1;6626;6224;195;142;48.5;35.3;9018.3;137.3;3000
06:15:30;756;59;1558;1411;81;33;55.1;22.4;3472.3;245.5;3000
06:18:00;720;21.9;549;423;58;34;46;27;478.5;170.6;3000
06:20:30;724;24.4;433;354;37;21;46.8;26.6;593.9;176.2;3000
06:23:00;727;29.6;1461;1250;142;29;67.3;13.7;874.1;489.7;3000
06:25:30;716;27.5;618;476;42;27;29.6;19;754.4;155.6;3000
06:28:00;719;24.5;350;169;75;45;41.4;24.9;598.8;166.7;3000
06:30:30;723;18.7;366;234;39;26;29.5;19.7;348.9;150;3000
06:33:00;720;22;451;179;75;79;27.6;29;482.8;94.9;3000
06:35:30;723;23.6;529;307;124;45;55.9;20.3;555.6;275.6;3000
06:38:00;727;23.3;528;210;145;76;45.6;23.9;541.6;190.8;3000
06:40:30;726;21.9;461;166;87;63;29.5;21.4;478.5;138.1;3000
06:43:00;739;32.1;930;755;75;42;42.9;24;1027.9;178.6;3000
06:45:30;744;33.9;1092;727;140;90;38.4;24.7;1146.4;155.6;3000
06:48:00;735;29;676;293;139;91;36.3;23.8;838.9;152.7;3000
06:50:30;736;40.7;1389;983;105;100;25.9;24.6;1652.5;105;3000
06:53:00;773;58.7;1812;1637;91;40;52;22.9;3436.9;227.5;3000
06:55:30;805;24.7;573;423;98;29;65.3;19.3;608.5;337.9;3000
06:58:00;794;23.7;445;247;121;40;61.1;20.2;560.2;302.5;3000
07:00:30;755;67.1;2361;2152;90;74;43.1;35.4;4491.2;121.6;3000
07:03:00;693;57.6;1873;1443;120;69;27.9;16;3310.2;173.9;3000
07:05:30;665;26.8;626;207;71;113;16.9;27;716.7;62.8;3000
07:08:00;675;30;744;391;71;75;20.1;21.2;898;94.7;3000
07:10:30;691;31.5;892;460;62;97;14.4;22.5;990;63.9;3000
07:13:00;685;34.4;992;523;61;86;13;18.3;1180.7;70.9;3000
07:15:30;677;30.6;800;198;56;88;9.3;14.6;934.3;63.6;3000
07:18:00;688;32.3;586;216;96;76;25.9;20.5;1040.9;126.3;3000
07:20:30;734;46.8;1398;943;132;143;29;31.4;2184.9;92.3;3000
07:23:00;784;29.4;718;275;139;129;31.4;29.1;862.1;107.8;3000
07:25:30;785;29.9;754;317;127;156;29.1;35.7;891.7;81.4;3000
07:28:00;776;29.8;902;346;170;167;30.6;30;885.8;101.8;3000
07:30:30;783;36.5;765;256;156;179;30.6;35.2;1328.8;87.2;3000
07:33:00;804;38;1276;918;119;115;33.2;32.1;1440.1;103.5;3000
07:35:30;806;28.6;778;493;121;76;42.5;26.7;815.8;159.2;3000
07:38:00;779;38.7;569;335;111;40;47.4;17.1;1493.8;277.5;3000
07:40:30;744;46.8;2514;2055;87;125;19;27.2;2184.8;69.6;3000
07:43:00;715;32.1;668;388;80;56;28.6;20;1028;142.9;3000
07:45:30;697;28.9;603;279;63;67;19.4;20.7;833.3;94;3000
07:48:00;689;28.2;845;534;71;65;22.8;20.9;793.4;109.2;3000
07:50:30;688;27.5;613;200;104;104;25.2;25.2;754.5;100;3000
07:53:00;684;31.3;900;443;69;130;15.1;28.4;977.5;53.1;3000
07:55:30;669;37.2;1362;1055;33;68;10.7;22.1;1380.8;48.5;3000
07:58:00;671;36.1;576;278;65;76;21.8;25.5;1300.3;85.5;3000
08:00:30;695;24.3;474;220;89;66;35;26;589.1;134.8;3000
08:03:00;694;25.5;760;494;80;60;30.1;22.6;648.8;133.3;3000
08:05:30;699;32.9;1003;583;45;129;10.7;30.7;1079.9;34.9;3000
08:08:00;729;39.5;1395;960;123;106;28.3;24.4;1556.5;116;3000
08:10:30;751;35.1;864;372;59;163;12;33.1;1228.9;36.2;3000
08:13:00;766;30.4;837;376;110;153;23.9;33.2;921.8;71.9;3000
08:15:30;763;30.4;791;401;46;195;11.8;50;921.8;23.6;3000
08:18:00;755;27.2;671;160;49;189;9.6;37;738;25.9;3000
08:20:30;734;44.9;1136;694;84;170;19;38.5;2011.1;49.4;3000
08:23:00;694;44.4;1120;687;124;104;28.6;24;1966.8;119.2;3000
08:25:30;677;28.1;531;253;64;62;23;22.3;787.8;103.2;3000
08:28:00;684;23.7;533;190;88;72;25.7;21;560.4;122.2;3000
08:30:30;692;34.1;979;547;112;132;25.9;30.6;1160.1;84.8;3000
08:33:00;680;34.4;843;631;66;46;31.1;21.7;1180.7;143.5;3000
08:35:30;688;36.8;1231;858;137;102;36.7;27.3;1351.2;134.3;3000
08:38:00;718;38.6;688;273;82;128;19.8;30.8;1486.4;64.1;3000
08:40:30;752;37.7;1288;884;86;159;21.3;39.4;1417.7;54.1;3000
08:43:00;777;27.9;628;291;61;137;18.1;40.7;776.4;44.5;3000
08:45:30;779;28.7;689;205;144;213;29.8;44;821.6;67.6;3000
08:48:00;750;54.4;3101;2727;165;94;44.1;25.1;2952;175.5;3000
08:50:30;751;55.9;1772;1227;168;128;30.8;23.5;3117;131.3;3000
08:53:00;787;22.5;439;157;54;141;19.1;50;504.9;38.3;3000
08:55:30;792;24.6;666;176;285;114;58.2;23.3;603.6;250;3000
